Classificação (FioCruz),Sentença,Resposta
Prevenção,"Quando é recomendado o uso de máscara, esta pode ser substituída por viseira?",A viseira deve ser usada complementarmente com método barreira que permita proteger a boca e o nariz.
Outros,"Como fazer quando os clientes, devido ao teor do serviço prestado, não podem usar máscara (por exemplo, tratamentos de rosto, cortar a barba, comer, etc)?","Os colaboradores devem usar máscara no atendimento a clientes, principalmente quando prestam um serviço a uma distância inferior ao recomendado pela Direção-Geral da Saúde. Sempre que houver contacto físico com o cliente, devem haver um reforço da higienização das mãos após o procedimento."
Transmissão,Para servir alimentos ou bebida deve ser dada preferência aos materiais descartáveis ou pode continuar a usar-se loiça? É possível lavar a loiça sem máquina?,"A escolha do material utilizado deve ser feita pelo respetivo estabelecimento, tendo em conta as suas características. Já existem no mercado, estes consumíveis descartáveis sem plástico, com menor impacto ambiental.Independentemente do tipo de material escolhido, o estabelecimento deve certificar-se que as normas de limpeza e higienização sejam cumpridas, seguindo as boas práticas e/ou orientações específicas.A lavagem da loiça deve ser feita na máquina de lavar loiça (forma preferencial) com um ciclo que contemple: pré-lavagem (para remover a sujidade/gorduras), seguido de lavagem com água mais quente, finalizando o ciclo com a desinfeção térmica.Não havendo máquina, a loiça poderá ser lavada à mão com água e detergente, imersa em solução de hipoclorito de sódio a 0,05% durante pelo menos 5 minutos, enxaguando de seguida com a água à maior temperatura possível e deixando secar ao ar – não usar panos para secagem."
O que é?,O que são os Coronavírus?,"Os coronavírus pertencem à família Coronaviridae que integra vírus que podem causar infeção no Homem, noutros mamíferos (por exemplo nos morcegos, camelos, civetas) e nas aves. Até à data, conhecemos oito coronavírus que infetam e podem causar doença no Homem. Normalmente, estas infeções afetam o sistema respiratório, podendo ser semelhantes às constipações comuns ou evoluir para uma doença mais grave, como a pneumonia. Dos coronavírus que infetam o Homem o SARS-CoV, o MERS-CoV e o SARS-CoV-2 saltaram a barreira das espécies, ou seja, estes vírus foram transmitidos ao Homem a partir de um animal reservatório ou hospedeiro desses vírus. O SARS-CoV originou uma epidemia em 2002-2003 e o MERS-CoV emergiu em 2012 e foi causando casos esporádicos de infeção humana ou pequenos clusters de casos de doença respiratória. O novo coronavírus, o SARS-CoV-2, que origina a doença designada COVID-19, foi identificado pela primeira vez em dezembro de 2019, na China."
O que é?,O que é o Novo Coronavírus?,"O novo coronavírus, designado SARS-CoV-2, foi identificado pela primeira vez em dezembro de 2019 na China, na cidade de Wuhan. Este novo agente nunca tinha sido identificado anteriormente em seres humanos. A fonte da infeção é ainda desconhecida. Ainda está em investigação a via de transmissão. A transmissão pessoa a pessoa foi confirmada e já existe infeção em vários países e em pessoas que  não tinham visitado o mercado de Wuhan. A investigação prossegue."
O que é?,O que é a COVID-19?,"COVID-19 é a designação dada pela Organização Mundial da Saúde para identificar a doença provocada pelo novo coronavírus SARS-CoV-2. Este novo coronavírus foi identificado pela primeira vez em dezembro de 2019 na China, na cidade de Wuhan. Os casos iniciais da doença COVID-19 foram associados a um mercado em Wuhan (Wuhan’s Huanan Seafood Wholesale Market). O mercado foi encerrado a 1 de janeiro de 2020, mas a doença foi progredindo desencadeando uma epidemia mundial ou pandemia."
Comparação,SARS-CoV-2 é o mesmo que COVID-19?,"SARS-CoV-2 é o nome do novo vírus e significa Severe Acute Respiratory Syndrome (Síndrome Respiratória Aguda Grave) – Coronavírus – 2.COVID-19 (Coronavirus Disease) é o nome da doença e significa Doença por Coronavírus, fazendo referência ao ano em que foi descoberta, em 2019.Existe outro coronavírus que causa uma Síndrome Respiratória Aguda Grave, que foi identificado em 2002, este é chamado SARS-CoV por isso o Novo Coronavírus é designado por SARS-CoV-2."
O que é?,Qual é a origem do Novo Coronavírus?,"Supõe-se que o SARS-CoV-2 tenha sido introduzido na espécie humana por transmissão zoonótica, ou seja, a partir de uma espécie animal. Vírus muito semelhantes foram identificados em morcegos e em pangolins, mas não é ainda claro o envolvimento destes animais na emergência do SARS-CoV-2 na espécie humana. As investigações continuam no sentido de esclarecer este processo para que melhor nos possamos defender de novas introduções."
Outros,Já houve algum surto com Coronavírus em anos anteriores? ,Sim. Em anos anteriores foram identificados alguns coronavírus que provocaram surtos e infeções respiratórias graves em humanos. Exemplos disto foram: • entre 2002 e 2003 a síndrome respiratória aguda grave (infeção provocada pelo coronavírus SARS-CoV); • em 2012 a síndrome respiratória do Médio Oriente (infeção provocada pelo coronavírus MERS-CoV).
Outros,Qual a situação atual e o risco em Portugal da COVID-19? ,"Face a esta ameaça de Saúde Pública, foram definidas fases de resposta que incluem três níveis e seis subníveis, de acordo com a avaliação de risco para COVID-19 e o seu impacto para Portugal. Atualmente, Portugal encontra-se na fase de Mitigação, na qual há transmissão local em ambiente fechado, bem como transmissão comunitária.A avaliação de risco encontra-se em atualização permanente.A Direção-Geral da Saúde (DGS) emite comunicados diários com o sumário da informação e recomendações que pode encontrar neste microsite dedicado ao COVID-19 (https://covid19.min-saude.pt/). O Centro Europeu de Prevenção e Controlo das Doenças (ECDC) disponibiliza no seu site as informações de contexto europeu (https://www.ecdc.europa.eu/en) e a Organização Mundial da Saúde o ponto da situação a nível mundial (https://www.who.int/emergencies/diseases/novel-coronavirus-2019)."
Sintomas/Diagnóstico,Quais os sinais e sintomas associados à COVID-19?,"Os sinais e sintomas da COVID-19 variam em gravidade, desde a ausência de sintomas (sendo assintomáticos) até febre (temperatura ≥ 38.0ºC), tosse, dor de garganta, cansaço e dores musculares e, nos casos mais graves, pneumonia grave, síndrome respiratória aguda grave, septicémia, choque sético e eventual morte.Os dados mostram que o agravamento da situação clínica pode ocorrer rapidamente, geralmente durante a segunda semana da doença.Recentemente, foi também verificada anosmia (perda do olfato) e em alguns casos a perda do paladar, como sintoma da COVID-19. Existem evidências da Coreia do Sul, China e Itália de que doentes com COVID-19 desenvolveram perda parcial ou total do olfato, em alguns casos na ausência de outros sintomas."
Outros,Qual é a percentagem de doença ligeira e grave por COVID-19?,"80% dos casos de COVID-19 apresentam doença ligeira, isto é, sintomas ligeiros, nomeadamente, febre, rinorreia (pingo no nariz), cefaleia (dores de cabeça) e mialgias (dores no corpo).Apenas 15% dos casos apresentam um quadro grave, com pneumonia, dificuldade respiratória, com necessidade de internamento e 5% podem eventualmente precisar de cuidados intensivos com necessidade de ventilação.A maioria dos óbitos são verificados nas pessoas mais idosas e com outras comorbilidades (outras doenças crónicas)."
Tratamento/Diagnótico,É necessário o internamento em todos os casos de COVID-19?,"Nem todos os casos confirmados de COVID-19 necessitam de internamento, desde que apresentem um quadro clínico ligeiro e estável, tenham condições para permanecer em casa e esteja garantido o acompanhamento da equipa de saúde no domicílio."
Comparação,A COVID-19 é o mesmo que gripe?,"Não. Embora os vírus que causam a COVID-19 e a gripe sejam transmitidos de pessoa para pessoa e possam causar sintomas semelhantes, os dois vírus são muito diferentes e não se comportam da mesma maneira.A doença COVID-19 é causada por um novo vírus que se designa SARS-CoV-2 e a gripe é causada pelo vírus influenza que circula na população há muitas centenas de anos. Ao contrário da gripe, para a COVID-19 a população mundial não apresenta qualquer tipo de anticorpos protetores ou imunidade. Desta forma, toda a população é suscetível à doença. Enquanto que para a gripe existe uma vacina e antivirais específicos para o tratamento, para a COVID-19 ainda se encontram em desenvolvimento."
Comparação,Qual a diferença entre epidemia e pandemia?,"Uma epidemia corresponde ao aumento considerável do número de casos de determinada doença, em várias regiões ou países, num determinado período de tempo.Uma pandemia é a disseminação mundial de uma doença, que se espalhou por diferentes continentes, afetando geralmente um grande número de pessoas, com transmissão sustentada e na comunidade. Na maioria das vezes está associada a uma grande disrupção social e coloca sobre enorme pressão os serviços de saúde a nível global."
Comparação/Prevenção,O que é a quarentena (“isolamento profilático”) e o isolamento?,"A quarentena (“isolamento profilático”) e o isolamento são medidas de afastamento social essenciais em Saúde Pública. São especialmente utilizadas em resposta a uma epidemia e pretendem proteger a população pela quebra da cadeia de transmissão entre pessoas.A diferença entre a quarentena (“isolamento profilático”) e o isolamento parte do estado de doença da pessoa que se quer em afastamento social.Quarentena é utilizada em pessoas que se pressupõe serem saudáveis, mas possam ter estado em contacto com um doente confirmado de COVID-19.Isolamento é a medida utilizada em pessoas doentes, para que através do afastamento social não contagiem outros cidadãos.Estas medidas de afastamento social são das mais efetivas para quebrar as cadeias de transmissão, e por isso utilizadas pelas Autoridades de Saúde para minimizar a transmissão da COVID-19."
Transmissão,Como se transmite?,"A COVID-19 transmite-se pessoa-a-pessoa por contacto próximo com pessoas infetadas pelo SARS-CoV-2 (transmissão direta), ou através do contacto com superfícies e objetos contaminados (transmissão indireta).A transmissão por contacto próximo ocorre principalmente através de gotículas que contêm partículas virais que são libertadas pelo nariz ou boca de pessoas infetadas, quando tossem ou espirram, e que podem atingir diretamente a boca, nariz e olhos de quem estiver próximo.As gotículas podem depositar-se nos objetos ou superfícies que rodeiam a pessoa infetada e, desta forma, infetar outras pessoas quando tocam com as mãos nestes objetos ou superfícies, tocando depois nos seus olhos, nariz ou boca.Existem também evidências sugerindo que a transmissão pode ocorrer de uma pessoa infetada cerca de dois dias antes de manifestar sintomas."
Sintomas/ Diagnóstico/ Tratamento,Qual é o período de incubação?,"Atualmente, estima-se que o período de incubação da doença (tempo decorrido desde a exposição ao vírus até ao aparecimento de sintomas) seja entre 1 e 14 dias."
Outros,O que quer dizer “transmissão comunitária”?,Transmissão comunitária significa que o vírus circula na comunidade sem que seja possível identificar a origem de todas as cadeias de transmissão.
Transmissão,"Antes do aparecimento de sintomas, a pessoa pode transmitir a infeção?","A pessoa pode transmitir a infeção cerca de um a dois dias antes do aparecimento dos sintomas, no entanto, a pessoa é mais infeciosa durante o período sintomático, mesmo que os sintomas sejam leves e muito inespecíficos.Estima-se que o período infecioso dure de 7 a 12 dias em casos moderados e até duas semanas, em média, em casos graves."
Sintomas,Os sintomas de COVID-19 são diferentes nas crianças e nos adultos?,"Não. Os sintomas de COVID-19 são semelhantes nas crianças e nos adultos. As crianças mostram, de uma forma geral, sintomas mais ligeiros e parecem registar, em proporção, menos casos de doença. Os sintomas relatados em crianças são inicialmente idênticos às constipações, como febre, corrimento nasal e tosse. Nalguns casos, foram também reportados vómitos e diarreia. Ainda não se sabe se algumas crianças podem estar em maior risco de doenças graves, por exemplo, crianças com condições médicas subjacentes e necessidades especiais de cuidados de saúde. Há muito mais a aprender sobre como a doença afeta as crianças e estão em curso investigações nesse sentido."
Diagnósticos/ Transmissão,As pessoas que têm a doença ficam imunes?,"De acordo com a evidência científica disponível à data, ainda não é possível confirmar se as pessoas infetadas com o SARS-CoV-2 desenvolvem imunidade protetora. O organismo humano pode ir ganhando anticorpos após a infeção e desenvolvimento da doença."
Boatos/ Transmissão,O SARS-CoV-2 pode ser transmitido através das fezes?,"O risco de transmissão por SARS-CoV-2 a partir das fezes de uma pessoa infetada parece ser reduzido. Embora esta seja uma via de excreção do vírus, não parece ser uma via preferencial de transmissão."
Transmissão,"O COVID-19 pode ser transmitido através de alimentos, incluindo os refrigerados e congelados?","Atualmente, não há evidência que suporte a transmissão do SARS-CoV-2 pelos alimentos.Porém, aplicando o princípio da precaução, a manutenção e o reforço das boas práticas de higiene e segurança alimentar durante a manipulação, preparação e coinfecção dos alimentos é recomendada.Assumindo o princípio da precaução, a OMS publicou no seu site algumas recomendações relativas às boas práticas de higiene e segurança alimentar assim como, a nível nacional, a Autoridade de Segurança Alimentar e Económica (ASAE).Destas orientações relativas à preparação, confeção e consumo de alimentos, destaca-se o reforço das seguintes boas práticas de higiene:Lavagem frequente e prolongada das mãos (com água e sabão durante 20 segundos), seguida de secagem apropriada evitando a contaminação cruzada (por exemplo fechar a torneira com um toalhete de papel ao invés da mão que a abriu enquanto suja);Desinfeção apropriada das bancadas de trabalho e das mesas com produtos apropriados;Evitar a contaminação entre comida crua e cozinhada;Cozinhar e “empratar” a comida a temperaturas apropriadas e lavar adequadamente os alimentos crus;Evitar partilhar comida ou objetos entre pessoas durante a sua preparação, confeção e consumo."
Transmissão,Quanto tempo o vírus persiste numa superfície?,"O vírus pode sobreviver em superfícies durante horas ou até dias, se estas superfícies não forem limpas e desinfetadas com frequência.O tempo que o vírus persiste nas superfícies pode variar sob diferentes condições (por exemplo, tipo de superfície, temperatura ou humidade do ambiente e a carga viral inicial que originou a exposição). Estudos recentes mostram que o SARS-CoV-2 se pode manter viável em superfícies como plástico ou metal por um período máximo de cerca de 72 horas e em aerossóis por um período máximo de 3h. Em superfícies mais porosas como cartão, o SARS-CoV-2 pode manter-se viável por um período de 24h.Na nossa própria casa ou em espaços públicos a frequência de limpeza deve ser aumentada, precisamente para que não haja acumulação de vírus nas superfícies. Deve utilizar-se detergente e desinfetante comum de uso doméstico (por exemplo: lixívia ou álcool)."
Transmissão/ Boatos,O dinheiro é um veículo de transmissão da COVID-19?,"O dinheiro muda de mãos centenas ou até milhares de vezes durante a circulação, encontrando-se entre os objetos que, se for contaminado com vírus, ou outros microorganismos (como por exemplo, bactérias) pode servir de veículo de transmissão. Não será, no entanto, uma forma de transmissão comum da COVID-19. A higiene das mãos quando se manipula o dinheiro é uma boa prática que, independentemente do atual contexto de pandemia, deve ser sempre aplicada."
Boatos/ Transmissão,Receber encomendas de outros países é um risco?,"Não. O risco de infeção por uma encomenda preparada e transportada do estrangeiro para Portugal é muito reduzido. Ainda que uma pessoa infetada com SARS-CoV-2 possa manusear um produto incluído numa encomenda, ou a sua embalagem, a probabilidade de ser infetado após esse produto ter sido exposto a condições atmosféricas e de transporte tão diferentes em termos de temperatura e humidade é muito reduzido."
Transmissão,O clima quente vai parar o surto de COVID-19?,"De momento, não há evidência de que a propagação da COVID-19 irá diminuir quando o clima ficar mais quente.Ainda não é conhecido de que forma o clima ou a temperatura afetam a propagação do SARS-CoV-2."
Prevenção,"Devo desinfetar tablets, smartphones e computadores?","Sim. Os ecrãs e os teclados devem ser limpos frequentemente, de preferência com toalhetes de limpeza e desinfeção rápida à base de álcool ou outro desinfetante com ação contra o vírus (ação virucida)."
Prevenção,Há uma temperatura mínima para lavar a roupa quando há um caso confirmado de COVID-19 em casa?,"Se a pessoa tiver sintomas de COVID-19 ou for um caso confirmado, a roupa deve ser lavada em casa na máquina, a pelo menos 60-70ºC, mas pode ir até os 90ºC (ou seja, à temperatura mais elevada, que a roupa puder suportar).A roupa que não puder ser lavada a quente, deve ser lavada com ciclo de água morna (30-40ºC) e desinfetada de seguida com um ciclo desinfetante, apropriado para roupa branca ou de cor, consoante o tipo de roupa a lavar.Se não tiver máquina de lavar, lave as suas roupas com água quente com detergente e desinfete de seguida com o desinfetante apropriado para a roupa."
Tratamento/Diagnótico,Qual é o tratamento?,"O tratamento para a infeção por este novo coronavírus é dirigido aos sinais e sintomas que os doentes apresentam e tem como objetivo proporcionar alívio e maior conforto aos doentes.À data, considerando o conhecimento científico atual e as recomendações da OMS, encontram-se em investigação, algumas estratégias terapêuticas apontadas como potenciais candidatos terapêuticos."
Tratamento,Existe uma vacina?,"Atualmente não existe vacina que previna a infeção por SARS-CoV-2. Sendo um vírus recentemente identificado, estão ainda em curso investigações em diversos países para o desenvolvimento de uma vacina com eficácia comprovada e que respeite os requisitos necessários de segurança."
Boatos/ Tratamento,Os antibióticos são efetivos a prevenir e tratar a COVID-19?,"Não, os antibióticos são dirigidos a bactérias, não tendo efeito contra vírus. A COVID-19 é provocada por um vírus, o SARS-CoV-2, e, como tal, os antibióticos não são efetivos na prevenção ou tratamento. O uso indevido e sem indicação médica de antibióticos poderá contribuir para o aumento das resistências a antimicrobianos (antibióticos) com efeito negativo para a saúde individual e coletiva."
Outros,"Onde encontrar a lista de áreas dedicadas para COVID-19, bem como os laboratórios referenciados (em atualização permanente)?","A lista de áreas dedicadas para COVID-19 , encontra-se aqui: https://covid19.min-saude.pt/areas-dedicadas-covid-19/A lista de laboratórios encontra-se aqui: https://covid19.min-saude.pt/laboratorios-referenciados/"
Outros,O que são medidas de higiene e etiqueta respiratória? ,"As medidas de higiene e etiqueta respiratória têm como objetivo reduzir a exposição e transmissão da doença e são:Medidas de etiqueta respiratória: tapar o nariz e a boca quando espirrar ou tossir, com um lenço de papel ou com o antebraço, nunca com as mãos, e deitar sempre o lenço de papel no lixo;Lavar as mãos frequentemente. Deve lavá-las sempre que se assoar, espirrar, tossir ou após contacto direto com pessoas doentes. Deve lavá-las durante 20 segundos (o tempo que demora a cantar os “Parabéns”) com água e sabão ou com solução à base de álcool a 70%;Evitar contacto próximo com pessoas com infeção respiratória;Evitar tocar na cara com as mãos;Evitar partilhar objetos pessoais ou comida em que tenha tocado."
Grupo de risco,Quem está em risco de doença por COVID-19?,"O vírus não tem nacionalidade, idade ou género, por isso todos corremos o risco de contrair a COVID-19.Ainda assim, as pessoas que correm maior risco de doença grave por COVID-19 são os idosos e pessoas com doenças crónicas (ex.: doenças cardíacas e doenças pulmonares)."
Prevenção/ Tratamento,Como devo colocar e retirar uma máscara?,"Colocar a máscara:Lave as mãos com água e sabão ou com uma solução à base de álcool (antes de colocar a máscara);Colocar a máscara na posição correta. A borda dobrável deve estar para cima e a parte colorida para fora;Segurar a máscara pelas linhas de suporte/elásticos e adaptar a cada orelha;Ajustar a máscara junto ao nariz e queixo, sem tocar na face da máscara.Retirar a máscara:Lavar as mãos com água e sabão ou solução à base de álcool;Retirar a máscara apenas segurando nas linhas de suporte/elásticos;Manter a máscara longe do rosto e da roupa, para evitar tocar em superfícies potencialmente contaminadas da máscara;Colocar a máscara no recipiente adequado e lavar novamente as mãos."
Prevenção,Os fumadores estão em maior risco de doença grave por COVID-19?,"Não existem estudos que confirmem esta questão. No entanto, se a pessoa fumadora já tiver problemas respiratórios ou cardíacos, isso pode contribuir para o agravamento da situação clínica da pessoa, caso se infete com COVID-19. Um fumador de longa data já apresenta alterações pulmonares que podem estar associados a quadros de pneumonia em caso de infeção por COVID-19."
Prevenção/ Tratamento,Um fumador que deixe os hábitos tabagísticos melhora a sua capacidade de resposta à infeção por COVID-19?,"A recuperação da capacidade pulmonar não é imediata. Mas qualquer pessoa que decide deixar de fumar deve fazê-lo porque fará sempre a diferença (cancro, AVC, enfarte agudo do miocárdio, DPOC e outras doenças crónicas) e terá sempre benefícios para a sua saúde – a curto e longo prazo."
Prevenção,Que cuidados devo ter na preparação e confeção de alimentos?,"Lave muito bem as mãos antes e enquanto está a confecionar as refeições. Tenha o cuidado de lavar adequadamente os alimentos crus e cozinhar e empratar a comida a temperaturas adequadas. Não partilhe comida ou objetos entre pessoas durante a sua preparação, confeção e consumo. Em todos os momentos, adote as medidas de etiqueta respiratória. Evite a contaminação entre comida crua e cozinhada."
Outros,O que se recomenda a quem tem que andar de metro/autocarro?,"Se vai viajar em transportes, o que se recomenda é que: · Garanta uma distância mínima das outras pessoas; · Se posicione costas com costas face a outras pessoas · É obrigatório o uso de máscara nos transportes públicos. · Evite levar as mãos à boca, olhos ou nariz; · Vire a cara para o lado, se alguém estiver a tossir à sua frente e peça à pessoa que está a tossir que o faça para um lenço ou para o braço ou paras o cotovelo; · Desinfete as suas mãos com uma solução à base de álcool ou lave as mãos assim que possível. · Se o transporte estiver lotado pode, sempre que possível, aguardar pelo próximo."
Prevenção/ Transmissão,Devo viajar?,"A Direção-Geral da Saúde encontra-se a acompanhar o desenvolvimento da situação global em articulação com o Ministério dos Negócios Estrangeiros. Para reforço da informação e assistência aos viajantes portugueses, o Ministério dos Negócios Estrangeiros criou a linha de apoio +351 217 929 755 (se fizer sentido pdf em anexo) e o email covid19@mne.pt, direcionado a situações de dificuldade de regresso ao território nacional ou necessidade de serviços consulares de locais, em países condicionados por medidas de restrição à circulação e atividade relacionadas com o COVID-19.Deverá assim acompanhar a atualização de informação disponibilizada também pelo Ministério dos Negócios Estrangeiros recorrendo há área dos conselhos aos viajantes https://www.portaldascomunidades.mne.pt/pt/conselhos-aos-viajantes).Pode ainda esclarecer algumas dúvidas gerais sobre viagens e vistos (https://www.vistos.mne.pt/pt/destaques/perguntas-frequentes-sobre-viagens-e-covid19)Caso tenha de viajar ou esteja fora de Portugal, registe-se na aplicação móvel gratuita “Registo Viajante”, disponível para dispositivos Android e IOS, permitindo ser imediatamente localizado e contactado em caso de emergência, como catástrofes naturais, acidentes ou atentados. Pode igualmente registar-se no Formulário Registo Viajante."
Grupo de risco,Quais são os grupos considerados de risco para o COVID-19?,"Os grupos de Risco para COVID 19 incluem:Pessoas idosas;Pessoas com doenças crónicas – doença cardíaca, pulmonar, neoplasias ou hipertensão arterial, entre outras;Pessoas com compromisso do sistema imunitário (a fazer tratamentos de quimioterapia, tratamentos para doenças auto-imunes (artrite reumatoide, lúpus, esclerose múltipla ou algumas doenças inflamatórias do intestino), infeção VIH/sida ou doentes transplantados."
Prenveção,Posso deixar as crianças com os avós?,"Neste momento não se recomenda que as crianças estejam com os avós por serem considerados um grupo vulnerável. Apesar de as crianças serem menos afetadas por esta doença e de terem sintomas mais ligeiros, podem transmitir o vírus a outros. É preferível que crianças e avós vão falando através de redes sociais, chats e por telemóvel durante esta fase de transmissão da doença."
Prevenção/ Transmissão/ Tratamento,Que cuidados devo ter se estiver em isolamento?,"Deve permanecer em casa. Não deve dirigir-se ao trabalho, à escola ou a espaços públicos. Permaneça numa divisão própria e evite contactar com outros em espaços comuns. Não partilhe pratos, copos, utensílios de cozinha, lençóis ou outros objetos pessoais.  Quando estiver com outras pessoas, utilize máscara. Cumpra as recomendações de lavagem das mãos e de etiqueta respiratória. Monitorize os sintomas e coloque os seus resíduos num saco próprio. "
Prenveção,O que devem ter em conta os outros membros da casa?,"Deve ser evitado o contacto com a pessoa com sintomas, especialmente se pertencer aos grupos vulneráveis: idosos, doentes crónicos, imunossuprimidos e grávidas. Preferencialmente, deve ser uma única pessoa a cuidar de quem está doente.  Após o contacto com o paciente ou com o seu espaço, lave as mãos com sabão e água ou com uma solução à base e álcool. Desinfete com frequência torneiras, interruptores e maçanetas das portas, especialmente se a pessoa doente usar espaços comuns. "
Prevenção/ Transmissão,"Se estiver em isolamento, posso receber pessoas em casa?","Não. Apenas deve frequentar a habitação quem coabitar com a pessoa com COVID-19. Em caso de necessidade de contacto urgente com alguém que não coabite com a pessoa em isolamento, o contacto deve ser feito por telefone. "
Grupo de risco/ Prenveção,As pessoas que fumam ou usam cigarros de aquecimento ou eletrónicos têm maior risco de contrair a COVID-19?,"Não existem estudos conclusivos. Contudo, é sabido que fumar diminui a imunidade e aumenta o risco de contrair infeções pulmonares bacterianas e virais, de gripe sazonal e de tuberculose, pelo que é expectável que esse risco aumentado também exista relativamente à COVID-19.Por outro lado, é possível que as pessoas que fumam ou usam cigarros de aquecimento ou eletrónicos sejam mais vulneráveis ao novo coronavirus (SARS-CoV-2) e à Covid-19, pois, durante o ato de fumar, os dedos, os cigarros ou os bocais eventualmente contaminados podem entrar em contacto com a boca, o que aumenta a possibilidade de transmissão do vírus. O uso de cachimbos de água (shisha), pode envolver a partilha de bocais, o que poderá facilitar, também, a transmissão do novo coronavirus.Para diminuir esse risco lave as mãos antes e depois de fumar, lave os bocais e desinfete os aparelhos de aquecimento ou os cigarros eletrónicos com uma solução à base de álcool após a compra e frequentemente após a utilização. Não partilhe cigarros ou equipamentos. Os bocais dos cachimbos de água nunca devem ser partilhados, devendo ser devidamente higienizados após a sua utilização."
Grupo de risco/ Prenveção,As pessoas que fumam têm maior risco de desenvolver complicações graves se contraírem a COVID-19?,"Embora ainda nem tudo seja conhecido acerca da COVID-19, pessoas com idade mais avançada, patologias crónicas cardiovasculares, respiratórias ou diabetes apresentam maior risco de desenvolver complicações graves no caso de serem infetadas pelo novo coronavirus.As pessoas fumadoras têm maior probabilidade de sofrer destas doenças em resultado da exposição ao fumo do tabaco. No caso de serem infetadas pelo novo coronavirus poderão apresentar maior risco de sofrer complicações graves, pois fumar lesa os tecidos pulmonares e aumenta a produção de muco a nível da árvore brônquica, o que contribui para aumentar a dificuldade respiratória. Por outro lado, fumar diminui a imunidade, tornando mais lenta e difícil a luta contra a infeção e a cura da doença."
Prevenção/ Transmissão,Parar de fumar diminui o risco de contrair a COVID-19?,"Ainda não são conhecidos estudos nesta área. Contudo, deixar de fumar ou usar cigarros de aquecimento ou eletrónicos permite eliminar o manuseamento dos cigarros e o eventual toque dos dedos, eventualmente contaminados, na boca.Por outro lado, é possível que se consigam gerir melhor as condições de doença crónica preexistentes no caso de haver infeção, porque o abandono do tabaco tem um impacto positivo nos níveis de oxigénio no sangue, na redução da sintomatologia respiratória e no sistema cardiovascular, que vão melhorando com o passar do tempo. Gerir melhor as doenças crónicas pré-existentes pode aumentar a capacidade dos pacientes com COVID-19 para responderem melhor à infecção e reduzir o risco de complicações mais graves."
Outros,Gostaria de deixar de fumar. Como posso obter apoio?,"Se é fumador, deixe de fumar. Neste período de mitigação da COVID-19 as consultas programadas de cessação tabágica foram substituídas, sempre que possível, por contactos telefónicos. Informe-se junto da sua unidade de saúde, ou do seu (sua) médico(a) ou enfermeiro(a) de família, sobre os apoios à cessação tabágica disponíveis nesta fase.Pode também usar o seguinte guia de aconselhamento: 15 passos para deixar de fumar. https://www.dgs.pt/em-destaque/15-passos-para-deixar-de-fumar.aspxExistem diversas aplicações informáticas para telemóvel gratuitas que o poderão ajudar a deixar de fumar.Caso sinta muita vontade de fumar, poderá usar substitutos de nicotina (medicamentos de venda livre nas farmácias ou espaços de saúde) com duas finalidades: para deixar de fumar ou para diminuir ou substituir o número diário de cigarros fumados.Em geral, uma pastilha ou uma goma equivalem a um cigarro. Siga atentamente os conselhos do seu médico ou do seu farmacêutico e leia cuidadosamente as instruções de utilização."
Outros,Deixei de fumar e estou em risco de recair. O que devo fazer?,"Os períodos de stress podem aumentar o consumo de tabaco e a vontade de voltar a fumar em ex-fumadores.Procure gerir o stress sem aumentar o consumo de tabaco. Fumar mais não resolve a ansiedade e prejudica a sua saúde respiratória e cardiovascular.Se é um ex-fumador, é muito importante que não volte a fumar. Se está a usar cigarros eletrónicos ou de aquecimento para deixar de fumar, não volte a fumar tabaco convencional. Tente deixar de fumar qualquer produto com nicotina. Dessa forma vai melhorar a sua saúde respiratória e resistir melhor a um eventual risco de infeção.Pense na sua saúde e proteja-se dos riscos da COVID-19."
Outros,Como evitar o fumo ambiental em casa durante o período de confinamento?,"Não fume dentro de casa.Se continuar a fumar cigarros convencionais ou outro tipo de tabaco durante o período de confinamento em casa, é importante que tenha consciência que o fumo ambiental ou as emissões dos cigarros de aquecimento ou eletrónicos são prejudiciais à sua saúde e à saúde de todos aqueles que partilham a sua habitação. “Quando alguém fuma, todos fumam à sua volta”.Se não conseguir deixar de fumar, fume na varanda ou no terraço, mantendo a porta de acesso ao interior da casa fechada, de modo a evitar que o fumo se espalhe para o seu interior. Se não tiver esta possibilidade, use um quarto com janela, fume para o exterior e mantenha a porta do quarto fechada. Escolha uma janela que não prejudique os moradores das habitações contíguas. Mantenha a casa bem arejada. Se possível, procure usar as pequenas saídas de casa, permitidas por lei, para fumar."
Transmissão,"Há risco de transmissão do COVID-19 se partilhar cigarros, bocais de cachimbos de água ou cigarros eletrónicos?","Sim, não deve partilhar com outras pessoas, quaisquer objetos de uso pessoal, incluindo cigarros, bocais dos cachimbos de água ou cigarros eletrónicos. A transmissão do vírus faz-se através das nossas mucosas (boca, olhos e nariz)."
