,perguntas,respostas,,,
162,ja houve algum surto com coronavirus em anos anteriores?,Sim. Em anos anteriores foram identificados alguns coronavírus que provocaram surtos e infeções respiratórias graves em humanos. Exemplos disto foram:• entre 2002 e 2003 a síndrome respiratória aguda grave (infeção provocada pelo coronavírus SARS-CoV),• em 2012 a síndrome respiratória do Médio Oriente (infeção provocada pelo coronavírus MERS-CoV).,,
163,o que e o  coronavirus?,"Os coronavírus são uma grande  família de vírus comuns em muitas espécies diferentes de animais, incluindo  camelos, gado, gatos e morcegos. Raramente, os coronavírus que infectam animais  podem infectar pessoas, como exemplo do MERS-CoV e SARS-CoV. Recentemente, em  dezembro de 2019, houve a transmissão de um novo coronavírus (SARS-CoV-2), o  qual foi identificado em Wuhan na China e causou a COVID-19, sendo em seguida  disseminada e transmitida pessoa a pessoa.",,,
164,o que fazer se eu estiver doente?,"Se estiver doente, com sintomas  compatíveis com a COVID-19, tais como febre, tosse, dor de garganta e/ou  coriza, com ou sem falta de ar, evite contato físico com outras pessoas,  incluindo os familiares, principalmente, idosos e doentes crônicos, busque  atendimento nos serviços de saúde e siga as orientações médicas. Utilize máscara o tempo todo. se for preciso cozinhar, use máscara  de proteção, cobrindo boca e nariz todo o tempo. Depois de usar o banheiro, nunca  deixe de lavar as mãos com água e sabão e sempre limpe vaso mantendo a tampa  fechada, pia e demais superfícies com álcool, água sanitária ou outro produto  recomendado pela Agência Nacional de Vigilância Sanitária – Anvisa -  para desinfecção do ambiente. Separe toalhas de banho, garfos,  facas, colheres, copos e outros objetos apenas para seu uso.O lixo produzido precisa ser  separado e descartado. Evite compartilhar sofás e cadeiras  e realize limpeza e desinfecção frequente com água sanitária ou álcool 70% ou  outro produto recomendado pela Agência Nacional de Vigilância Sanitária –  Anvisa. Mantenha a janela aberta para  circulação de ar do ambiente usado para isolamento e a porta fechada, limpe a  maçaneta frequentemente com álcool 70%, água sanitária, ou outro produto  recomendado pela Agência Nacional de Vigilância Sanitária – Anvisa. Caso o paciente não more sozinho, recomenda-se que os  demais moradores da residência durmam em outro cômodo, seguindo também as  seguintes recomendações: Mantenha a distância mínima de 1 metro entre a pessoa  infectada e os demais moradores. Limpe os móveis da casa  frequentemente com água sanitária, álcool 70% ou outro produto recomendado pela  Agência Nacional de Vigilância Sanitária – Anvisa. Se uma pessoa da casa tiver diagnóstico positivo, todos  os moradores devem ficar em distanciamento conforme orientação médica.",,,
165,como ocorreram as primeiras infeccoes humanas  pelo novo coronavirus?,"Em 31 de dezembro de 2019 o  escritório da Organização Mundial da Saúde (OMS) foi informado sobre casos de  pneumonia de origem desconhecida detectados na cidade de Wuhan, localizada na  província de Hubei, na parte central da China, cuja população estimada é de 11  milhões de habitantes. As autoridades chinesas informaram à  OMS que alguns pacientes trabalhavam em um mercado atacadista de peixes e  animais vivos, localizado em Wuhan, denominado Huanan Seafood Market, maior  mercado da cidade com 600 estabelecimentos e 1.500 trabalhadores. Esse mercado  foi fechado em 1 de janeiro de 2020 para ações de saneamento e desinfecção  ambiental.",,,
166,qual a diferenca entre covid-19 e o novo  coronavirus?,"COVID-19 é a doença infecciosa causada pelo novo coronavírus (SARS-CoV-2), agente causador da doença",,,
167,qual a  probabilidade de eu pegar a covid-19?,"O Brasil vivencia em muitos  municípios a transmissão comunitária, ou seja, existe a circulação do vírus na  comunidade e o risco de contraí-lo aumenta. A pessoa pode contrair o vírus da  COVID-19 no contato com outra pessoa que já tenha o vírus.  COVID-19 é  transmitida de pessoa para pessoa por meio de gotículas do nariz ou da boca. O  indivíduo que está com a COVID-19, ao falar, tossir ou espirrar pode espalhar este  vírus, por isso a necessidade de distanciamento de pelo menos 1 metro de  distância entre as pessoas e da adoção das demais medidas como uso de máscara,  higienização frequente das mãos, manutenção dos espaços limpos e ventilados,  não frequentar locais com aglomeração de pessoas, entre outras. Todas as unidades federadas já  notificaram casos de COVID-19. Dessa forma, os cuidados de distanciamento  social, lavagem das mãos com água e sabão e uso de álcool-gel 70% são  importantes para reduzir o risco de se infectarem. Algumas ocupações como em serviços  de saúde e segurança pública, em   sesetores que o trabalho ocorre em regime de confinamento como em  plataformas de petróleo e embarcações ou ainda cujo processo de trabalho  dificulte a implementação de medidas de distanciamento por ocorrerem em linha  ou esteira de produção, devem redobrar os cuidados de higiene e atentar para o  uso adequado de EPI e outras medidas protetivas.",,,
168,quem esta  mais vulneravel a covid-19?,"Pessoas idosas e pessoas com  condições médicas pré-existentes (como pressão alta, doenças cardíacas, doenças  pulmonares, câncer ou diabete) estão mais suscetíveis a desenvolver casos mais  severos de COVID-19.",,,
169,o covid-19 e  transmitido pelo ar?,"Não, a transmissão acontece de uma pessoa doente para  outra ou por contato próximo, por meio de: Aperto de mãos (principal forma de contágio).Gotículas de saliva do nariz e/ou da boca. Espirro. Tosse. Catarro. Objetos ou superfícies contaminadas, como celulares,  mesas, maçanetas, brinquedos, teclados de computador etc.",,,
170,quanto tempo  o virus sobrevive nas superficies?,"Não é certo quanto tempo o vírus que  causa a COVID-19 sobrevive na superfície. Estudos sugerem que os coronavírus  podem persistir nas superfícies por algumas horas ou até vários dias. Isso pode  variar sob diferentes condições (por exemplo: tipo de superfície, temperatura  ou umidade do ambiente).Se você acha que uma superfície pode  estar infectada, limpe-a com um desinfetante simples para matar o vírus e  proteger a si e aos outros. Limpe as mãos com álcool gel a 70% ou lave-as com  água e sabão. Evite tocar nos olhos, boca ou nariz.",,,
171,devo usar  uma mascara para me proteger?,"Dados científicos recentes constatam que a transmissão  da COVID-19 pode ocorrer mesmo antes do indivíduo apresentar os primeiros  sinais e sintomas. Por esse motivo, o Ministério da Saúde passou a recomendar o  uso de máscaras faciais para todos. A utilização de máscaras impede a  disseminação de gotículas expelidas do nariz ou da boca do usuário no ambiente,  garantindo uma barreira física que vem auxiliando na mudança de comportamento da  população e diminuição de casos. Diante da insuficiência de insumos, foi solicitado aos  cidadãos para que produzam a sua própria máscara de tecido, deixando as  máscaras profissionais (cirúrgica e N95 ou similares) para os profissionais da  saúde ou outro grupo de trabalhador para o qual exista a previsão legal do uso  deste EPI.",,,
172, o que e o covid-19?,"O vírus como SARS-CoV-2, responsável pela doença Covid-19, é apontado como uma variação da família coronavírus, formada por vírus comuns em muitas espécies diferentes de animais, incluindo camelos, gado, gatos e morcegos. Alguns animais já infectaram humanos e causaram outras epidemias. Os primeiros foram identificados em meados da década de 1960, de acordo com o Ministério da Saúde.  Os coronavírus causam infecções respiratórias e intestinais em humanos e animais, sendo que a maioria das infecções em humanos é causada por espécies de baixa patogenicidade, levando ao desenvolvimento de sintomas do resfriado comum. No entanto, podem, eventualmente, levar a infecções graves em grupos de risco, idosos e crianças.",,,
173,qual o nome oficial da doenca?,"A doença provocada pela variação originada na China foi nomeada oficialmente pela Organização Mundial de Saúde (OMS) como Covid-19, em 11 de fevereiro. Outras variações mais antigas de coronavírus, como SARS-CoV e MERS-CoV, são conhecidas pelos cientistas. Eles também chegaram aos humanos por contato com animais: gatos, no caso da Sars, e dromedários, no caso do vírus Mers.",,,
174,quando foram notificados os primeiros casos do novo coronavirus?,"A OMS emitiu o primeiro alerta para a doença em 31 de dezembro de 2019, depois que autoridades chinesas notificaram casos de uma misteriosa pneumonia na cidade de Wuhan, metrópole chinesa com 11 milhões de habitantes, sétima maior cidade da China e a número 42 do mundo. O tamanho é comparável com a cidade de São Paulo, que tem mais de 12 milhões de habitantes. Ainda não está claro como ocorreu a mutação que permitiu o surgimento do novo vírus.",,,
175,existe vacina contra a covid-19?,"Ainda não há vacina específica para prevenir a contaminação contra o coronavírus. A boa notícia é que vários países – como Rússia, China e Estados Unidos – já pesquisam uma vacina contra o Covid-19. A expectativa da comunidade científica é de que os primeiros testes comecem nos próximos dois meses.",,,
176,quais os principais sintomas da covid-19?,"Os sintomas do novo coronavírussão bastante variados. Os mais comuns são tosse (seca ou com secreção), febre acima de 37°e dificuldade de respirar. Os mais graves são dificuldade respiratória aguda e insuficiência renal. Outros sintomas possíveis são: dores no corpo, congestionamento nasal, inflamação na garganta e diarreia.",,,
177,quais sao as complicacoes do novo coronavirus?,"As complicações mais comuns são síndrome respiratória aguda grave (17-29%), lesão cardíaca aguda (12%) e infecção secundária (10%).",,,
178,quais as formas de transmissao?,"A transmissão ocorre por três vias: pelo ar; pelo contato (aperto de mão, beijo, abraço); por meio de superfícies não higienizadas (celulares, maçanetas, corrimões, etc.) e via animais.Assim, a doença pode se espalhar de pessoa para pessoa através de pequenas gotículas do nariz ou da boca que se espalham quando uma pessoa com a doença tosse ou exala.Essas gotículas pousam em objetos e superfícies ao redor da pessoa. Outras pessoas pegam a Covid-19 tocando esses objetos ou superfícies e depois tocando nos olhos, nariz ou boca.A recomendação da OMS é de que, caso você desconfie que uma superfície está contaminada, limpe-a com um desinfetante e evite tocar nos olhos, na boca ou no nariz. Após isso, higienize as mãos com álcool ou lave-as com água e sabão.",,,
179,como evitar a contaminacao ou a transmissao do virus?,"A higiene das mãos e a chamada etiqueta respiratória são as principais recomendações para evitar a contaminação da doença. Confira: Lavar as mãos com água e sabão até a metade do punho; Usar álcool 70% para limpar as mãos antes de encostar em áreas como olhos, nariz e boca; Tossir ou espirrar levando o rosto à parte interna do cotovelo (ver figura abaixo); Evitar multidões; usar máscaras caso apresente sintomas; Evitar tocar nariz, olhos e boca antes de limpar as mãos; Manter a distância de um metro de pessoas espirrando ou tossindo; Limpar com álcool objetos tocados frequentemente; Evitar cumprimentar com aperto de mão, abraço ou beijo no rosto; Evitar sair de casa caso apresente algum sintoma da gripe; Utilizar lenço descartável quando estiver com nariz escorrendo; Informar-se sobre os métodos de prevenção e passar as informações corretas.",,,
180,quanto tempo o novo coronavirus vive em uma superficie ou no ar?,"Segundo a Organização Mundial da Saúde (OMS), ainda não é possível afirmar quanto tempo o novo coronavírus sobrevive na superfície ou no ar, mas pesquisadores afirmam que ele parece se comportar igual aos outros tipos de coronavírus.Estudos avaliados pela OMS apontam que o vírus pode persistir nas superfícies por algumas horas ou, até mesmo, vários dias. Isto pode variar e depende das condições do local, do clima e da umidade do ambiente.",,,
181, qual e o periodo de transmissibilidade do novo coronavirus?,"A transmissibilidade dos pacientes infectados por SARS-CoV é em média de 7 dias após o início dos sintomas. No entanto, dados preliminares do novo Coronavírus sugerem que a transmissão possa ocorrer mesmo sem o aparecimento de sinais e sintomas. Até o momento, não há informação suficiente de quantos dias anteriores ao início dos sinais e sintomas uma pessoa infectada passa a transmitir o vírus.",,,
182, quem ja pegou o novo coronavirus pode ficar doente de novo?,"Especialistas afirmam que ainda é muito cedo para dizer se o novo coronavírus que causa o Covid-19 pode voltar a infectar uma pessoa que já teve a doença. Acreditam que, teoricamente, é pouco provável que isso aconteça.",,,
183, encomendas que vem da china podem estar contaminadas com o virus?,"Segundo a OMS, o risco de transmissão da Covid-19 por mercadorias é baixo, principalmente pelas diferentes condições às quais elas são submetidas. Ou seja, mesmo se o item estivesse infectado, o vírus não resistiria a movimentações e diferentes condições de temperatura.",,,
184, animais de estimacao podem transmitir o novo coronavirus?,"Segundo especialistas, não há provas ou evidências de que os pets podem transmitir a doença. A única suspeita é que a carne de animais infectados pode contaminar humanos. Não há, porém, informações sobre a forma como os bichos se contaminam com o vírus.A suspeita inicial é que a contaminação de humanos pelo novo coronavírus tenha ocorrido a partir do consumo da carne de pangolim, um animal em risco de extinção. Apesar disso, não há confirmação de transmissão do vírus entre animais – incluindo de estimação – e humanos.A primeira vez que um animal de estimação foi detectado com coronavírus foi em 28 de fevereiro. Exames iniciais feitos em um cão em Hong Kong detectaram a presença de coronavírus, de acordo com um porta-voz do Departamento de Agricultura, Pesca e Conservação do território semiautônomo da China. Os níveis detectados no cachorro são baixos e o animal não apresenta nenhum sintoma.Novos exames adicionais serão feitos para comprovar se o cão está realmente infectado pelo vírus ou se o resultado do exame se deve à contaminação ambiental do nariz e boca do animal, de acordo com o Departamento de Agricultura, Pesca e Conservação.",,,
185, o clima no brasil pode ajudar a combater o novo coronavirus?,"Segundo infectologistas, a temperatura não bloqueia o vírus, mas o frio pode piorar transmissões. A Covid-19 tem se espalhado principalmente em países do hemisfério norte, que atualmente está no inverno.",,,
186,   quais sao os hospitais de referencia no brasil onde os pacientes devem ser encaminhados?,"As Secretarias Estaduais de Saúde informaram ao Ministério da Saúde os hospitais de referência para atendimento de eventuais casos graves do novo coronavírus. Esses locais foram escolhidos como medida preventiva pelos gestores locais por terem ampla capacidade de atendimento com profissionais especializados para situações de risco à saúde pública.Os eventuais pacientes com casos graves do novo coronavírus devem ser encaminhados aos hospitais de referência definidos pelos estados para isolamento e tratamento. Os casos suspeitos leves podem não necessitar de hospitalização e ser acompanhados pela Atenção Primária e instituídas medidas de precaução domiciliar. Porém, é necessário avaliar cada caso.",,,
187,novo coronavirus (covid-19): o que e e como surgiu?,"O novo agente, denominado SARS-CoV-2, faz parte de uma família de vírus chamada de Coronavírus. Eles recebem este nome porque quando vistos no microscópio eletrônico têm um aspecto de coroa. Alguns destes vírus infectam seres humanos e outros, somente animais e podem causar desde um resfriado comum até quadros graves, como pneumonia e insuficiência respiratória.Ao longo da vida, a maioria das pessoas tem contato com os coronavírus comuns que infectam os humanos: alpha coronavírus 229E e NL63 e beta coronavírus OC43 e HKU1, que habitualmente causam infecções de vias aéreas superiores.Além destes, nas duas últimas décadas tivemos o aparecimento de doenças causadas por outros coronavírus que originalmente infectavam apenas animais, mas que passaram para os seres humanos, causando a SARS (Síndrome Respiratória Aguda Grave) em 2002-2003 e MERS (Síndrome Respiratória do Oriente Médio) a partir de 2013.O novo coronavírus, que começou a provocar doença humana a partir de dezembro/2019, provavelmente é decorrente de mutação de um vírus de origem animal e que, nos últimos meses, passou de animais para pessoas em um mercado de frutos do mar e animais vivos na cidade de Wuhan, na China.",,,
188,o que faco para nao pegar o novo coronavirus?,"O Maranhão ainda não possui casos confirmados da doença, portanto não há registro de circulação do vírus no estado. Para haver o contágio é preciso ter contato com uma pessoa infectada. Sendo assim, é importante evitar contato com pessoas com suspeitas de COVID-19 ou viagens para áreas de risco e estar atento às medidas de prevenção.",,,
189,quais as formas de prevencao contra o novo coronavirus?,"As medidas de prevenção contra o novo coronavírus são as mesmas que devem ser adotadas contra qualquer outra síndrome respiratória. Lave as mãos frequentemente com água e sabão ou use um produto à base de álcool; ao tossir ou espirrar, cubra a boca e o nariz com o cotovelo flexionado ou use lenço descartável – descarte imediatamente em uma lixeira e limpe as mãos com produto à base de álcool ou lave com sabão e água; mantenha-se longe de aglomerados; e evite tocar nos olhos, nariz e boca.",,,
190,como faco para saber se estou com o novo coronavirus?,"Os principais sintomas do novo coronavírus são tosse, febre e falta de ar, além de mialgia (dores musculares). Mas apresentar esses sintomas não significa necessariamente que você tem o vírus. Os sintomas são semelhantes a outras doenças muito mais comuns, como gripes e resfriados. Portanto, é improvável que você esteja com o novo coronavírus se você não esteve em contato próximo com alguém com diagnóstico confirmado da doença ou se você não esteve em um país ou área com alto risco de novo coronavírus nos últimos 14 dias.",,,
191,o que e considerado um caso suspeito de infeccao pelo novo coronavirus?,"Neste momento, caso suspeito é uma pessoa com febre e sintoma respiratório que retornou de área de transmissão local ou que teve contato próximo com alguém infectado nos 14 dias antes do início dos sintomas.",,,
192,"tenho uma viagem internacional agendada para uma das areas com casos confirmados de covid-19, o que devo fazer?","Em razão do perigo de contágio, as viagens para áreas de risco, que não sejam emergenciais, devem ser evitadas.",,,
193,"tenho uma viagem agendada para areas no brasil onde ha casos confirmados da doenca, o que devo fazer?","Não há restrição de viagens para locais onde há casos importados, porém, o viajante deve tomar alguns cuidados, como evitar contato com pessoas com sintomas respiratórios, higienizar as mãos frequentemente, evitar aglomerações. No Brasil, até 12 de março, há casos confirmados da doença nos estados de Alagoas, Bahia, Minas Gerais, Espírito Santo, Rio de Janeiro, São Paulo, Rio Grande do Sul, Paraná e Distrito Federal.",,,
194,o que fazer se retornei de area de transmissao ou tive contato com pessoa com o novo coronavirus?,"As pessoas que retornaram de área de transmissão ou tiveram contato próximo com doente devem procurar rapidamente um serviço de saúde para avaliação e diagnóstico, desde Unidade Básica de Saúde até UPAs ou hospitais de urgência. É aconselhável que estas pessoas, que apresentarem sintomas de resfriados, utilizem máscara cirúrgica a partir do momento da suspeita.Se estiver em São Luís, o viajante ou contato com caso confirmado de COVID-19 que apresente quadro leve de resfriado pode se dirigir até a Central de Testagem, na Policlínica Diamante (Rua João Luís, bairro Diamante), para realizar o exame para descartar ou confirmar possível infecção respiratória.Os casos graves devem se dirigir às unidades de emergência.",,,
195,como e feito o diagnostico?,"Por meio de um exame específico para detectar material genético do vírus em secreção do nariz e/ou garganta do paciente, colhida por um cotonete ou por aspiração. No Maranhão, a coleta é feita pelo Laboratório Central de Saúde Pública (LACEN-MA).",,,
196,devo usar mascara para prevenir o novo coronavirus?,"As máscaras faciais desempenham um papel muito importante em locais como hospitais, mas há muito pouca evidência de benefício generalizado. O uso de máscara, para além das áreas das unidades de saúde, deve ser feito apenas por quem tem sintomas respiratórios (tosse ou espirro) ou está cuidando de alguém com suspeita de infecção transmitida por via respiratória.",,,
197,posso pegar o novo coronavirus por correio e encomendas da china ou de outras areas afetadas?,"Atualmente, não há evidências de que você possa pegar o novo coronavírus em encomendas e cartas.",,,
198,posso pegar o novo coronavirus atraves da comida?,"Atualmente, não há evidências de que você possa pegar o novo coronavírus nos alimentos. Mas é sempre uma boa ideia lavar as mãos com água e sabão ou usar gel desinfetante para as mãos antes de preparar ou comer alimentos.",,,
199,o novo coronavirus afeta apenas as pessoas idosas ou as pessoas mais jovens tambem podem pegar a doenca?,"Pessoas de todas as idades podem contrair o novo coronavírus. As pessoas idosas e as pessoas com condições médicas pré-existentes (como asma, diabetes, doenças cardíacas) têm maior probabilidade de ficar gravemente doentes com o vírus. Pessoas de todas as idades devem seguir medidas simples de prevenção para impedir a propagação do vírus.",,,
200,qual a mortalidade da doenca causada pelo novo coronavirus?,Estima-se que a mortalidade seja em torno de 2 a 3%. Os óbitos estão ocorrendo principalmente em pessoas acima de 60 anos e com doenças crônicas que afetam a imunidade. É importante acompanhar a evolução da epidemia para ter certeza do real potencial de mortalidade deste vírus.,,,
201,ha casos confirmados do novo coronavirus no brasil?,"Sim, o primeiro caso no Brasil foi confirmado no dia 26 de fevereiro, na cidade de São Paulo.",,,
202,como o maranhao esta se preparando para a possivel chegada da doenca no estado?,"No Maranhão existe um Plano Estadual de Contingência do Novo Coronavírus, orientado por protocolos do Ministério da Saúde e da Organização Mundial da Saúde. Entre outras ações, estão sendo ampliados leitos de enfermaria e UTI no Hospital Carlos Macieira para atendimento dos casos graves, que precisarem de internação em área isolada.",,,
203,posso contrair o coronavirus pelo compartilhamento de objetos?,"Sim! Maçanetas, talheres, copos, teclados de computador, celulares, corrimões e barras internas do transporte público podem estar infectados. Por isso, é importante cuidar da higienização das mãos após o uso destes objetos.",,,
204,existe algum produto de limpeza que elimine o coronavirus?,"Sim. Utilize álcool 70%, água sanitária ou água e sabão para evitar contaminação.",,,
205,"vitamina c, vitamina d ou cha de erva doce protegem contra o virus?",Não! Até o momento não há nenhum medicamento especifico para a prevenção da doença.,,,
206,por que tem pessoas com coronavirus que ficam em isolamento domiciliar e nao no hospital?,"Segundo o Ministério da Saúde, em casos leves, onde não há incapacidade cardiorrespiratória, neoplasias ou idade avançada, é possível a adoção de medidas restritivas individuais de isolamento e quarentena domiciliar, mantendo distância dos demais contatos próximos. Isto inclui evitar o compartilhamento de utensílios domésticos e pessoais, até que seja descartada ou confirmada a suspeita.Os contatos próximos (familiares, colegas de trabalho, entre outros, conforme investigação) são orientados sobre a manifestação de sintomas e, nesses casos, da necessidade de também permanecer em isolamento domiciliar. Estas pessoas, caso manifestem sintomas, devem procurar imediatamente o serviço de saúde.",,,
207,e que casos de coronavirus precisam ser internados em hospital com isolamento?,"Casos suspeitos ou confirmados de COVID-19 que apresentam piora do quadro de gripe devem ser internados em áreas de isolamento em unidade hospitalar pública ou privada. Normalmente, estas pessoas apresentam dificuldade respiratória, pontas dos dedos azuladas, entre outros sintomas.Além destes, grupos mais vulneráveis a complicações cardíacas ou respiratórias, isto é, idosos, pessoas com doença crônica, entre outros – onde o quadro pode se agravar com o coronavírus – devem ser internados em hospital com isolamento.",,,
208,o que e o coronavirus?,"Os coronavírus são uma grande família viral, conhecidos desde meados de 1960, que causam infecções respiratórias em seres humanos e em animais. Geralmente, infecções por coronavírus causam doenças respiratórias leves a moderadas, semelhantes a um resfriado comum. Porém, alguns coronavírus podem causar doenças graves com impacto em termos de saúde pública, como já verificado com a Síndrome Respiratória Aguda Grave (SARS), identificada em 2002, e a Síndrome Respiratória do Oriente Médio (MERS), identificada em 2012.",,,
209,qual e a diferenca entre o novo coronavirus para os outros virus?,"A doença provocada pelo novo coronavírus chama-se COVID-19, sigla em inglês para “coronavirus disease 2019” (doença por coronavírus 2019, em tradução livre). Os primeiros casos foram registrados inicialmente na China, no final de 2019. Há registros em outros locais do mundo, com casos de mortes.",,,
210,existe vacina para prevencao ao coronavirus?,"Até o momento, não. No entanto, cientistas ao redor do mundo, como as equipes do Instituto Butantan, em São Paulo, já iniciaram pesquisas para desenvolvimento de vacina. Ainda é precoce indicar se e quando ela estará disponível.",,,
211,"o que e o ""periodo de incubacao""?","Período de incubação consiste no intervalo entre a data de contato com o vírus até o início dos sintomas. No caso do COVID-19, já se sabe que o vírus pode ficar incubado por até duas semanas (14 dias), quando os sintomas aparecem desde a infecção.",,,
212,como ocorre a transmissao do coronavirus?,"As investigações sobre transmissão do novo coronavírus ainda estão em andamento. Neste momento está estabelecida transmissão por contato com secreções. A transmissão pode ocorrer de forma continuada, ou seja, um infectado pelo vírus pode passá-lo para alguém que ainda não foi infectado. A transmissão costuma ocorrer pelo ar ou por contato pessoal com secreções contaminadas, como: Gotículas de saliva; Espirro; Tosse; Catarro; Contato pessoal próximo, como toque ou aperto de mão com pessoa infectada; Contato com objetos ou superfícies contaminadas, seguido de contato com a boca, nariz ou olhos. Alguns vírus são altamente contagiosos, como o sarampo, que é transmitido por aerossol (partículas no ar), com proporção de transmissão de uma para até 18 pessoas, em média. O conhecimento já registrado sobre os coronavírus indica que eles apresentam transmissão de uma para até três pessoas.
 ",,,
213,o coronavirus pode matar?,"O óbito pode ocorrer em virtude de complicações da infecção, como por exemplo, insuficiências respiratórias. Os dados mais recentes da OMS (Organização Mundial da Saúde) indicam taxa de letalidade de 2 a 3% dos casos confirmados.",,,
214,como se prevenir contra o covid-19?,"As principais orientações são: Cobrir boca e nariz ao tossir ou espirrar;Usar máscaras, mesmo que caseiras;Utilizar lenço descartável para higiene nasal;Evitar tocar mucosas de olhos, nariz e boca;Não compartilhar objetos de uso pessoal;Limpar regularmente o ambiente e mantê-lo ventilado;Lavar as mãos por pelo menos 20 segundos com água e sabão ou usar antisséptico de mãos à base de álcool;Deslocamentos/viagens não devem ser realizados enquanto a pessoa estiver doente;Quem viajar aos locais com circulação do vírus deve evitar contato com pessoas doentes, animais (vivos ou mortos), além de evitar a circulação em mercados de animais e seus produtos.",,,
215,como e a prevencao contra o coronavirus para os profissionais de saude?,"Profissionais de saúde devem utilizar medidas de proteção padrão para contato e gotículas (máscara cirúrgica, luvas, avental não-estéril e óculos de proteção). Para a realização de procedimentos que gerem aerossolização de secreções respiratórias como intubação, aspiração de vias aéreas ou indução de escarro, deverá ser utilizada máscara de precaução por aerossóis tipo N95",,,
216,e recomendado o uso de mascaras de protecao?,"Existem boas razões para acreditar que as máscaras caseiras ajudem muito. Em locais como Hong Kong, Mongólia, Coréia do Sul e Taiwan, todos com COVID -19 sob controle, a população vem fazendo uso de máscaras em público. Muitas pessoas têm infecções assintomáticas ou oligosintomáticas. Em uso de máscaras, mesmo as artesanais, podem se comportar como uma barreira mecânica, como o uso da dobra do cotovelo ao se espirrar, e assim impedir que gotículas possam infectar outras pessoas. Dessa forma, a pessoa está se protegendo e ao mesmo tempo protegendo outras. Diante desse cenário, máscaras artesanais podem ser eficazes para “achatar a curva”, independente da especificidade. Essas máscaras podem ser feitas em casa com materiais tão simples quanto uma camiseta de algodão e uma tesoura. Dessa forma, é recomendado o uso de barreiras mecânicas adicionais como máscaras não-médicas pela população, além de todas as medidas já divulgadas para prevenção da contaminação pelo coronavírus SARS CoV2 como higienização frequente das mãos, uso de soluções antissépticas à base de álcool em gel a 70%, desinfecção de superfícies tocadas com frequência, distanciamento social, dentre outras. Já as máscaras dos tipos cirúrgicas e N95, por exemplo, devem ser utilizadas por profissionais de saúde como parte dos equipamentos de proteção individual para cuidados com o paciente. Reitera-se que estas são as recomendações informadas por evidências disponíveis até a presente data e estão sujeitas a revisão mediante novas publicações e estudos científicos, durante a vigência da pandemia provocada pelo novo coronavírus (covid-19).",,,
217,o que fazer em caso de sintomas?,"Assim que surgirem os primeiros sintomas, o paciente deve procurar o serviço de saúde mais próximo da sua residência. O profissional vai avaliar se os sintomas podem indicar alguma probabilidade de infecção por coronavírus, coletar material para diagnóstico e iniciar o tratamento. A infecção apresenta manifestações clínicas parecidas com as de outros vírus e não existe tratamento específico para infecções por coronavírus até o momento. Dessa forma, no caso do novo coronavírus é indicado: Repouso;Hidratação (ingestão de bastante água e líquidos);Medidas adotadas para aliviar os sintomas, conforme cada caso, como: uso de medicamento para dor e febre (antitérmicos e analgésicos); uso de umidificador no quarto; tomar banho quente para auxiliar no alívio da dor de garganta e tosse. Pacientes com sintomas mais intensos podem ser hospitalizados. A definição compete ao médico responsável pelo caso. Para mais informações, é possível ligar no Telecoronavírus, no número 155, e falar com um profissional de saúde.",,,
218,como e feito o diagnostico do covid-19?,O diagnóstico é feito com a coleta de materiais respiratórios (aspiração de vias aéreas ou coleta de secreções da boca e nariz). O procedimento deve ser realizado para todos os casos suspeitos. As amostras são encaminhadas para o Laboratório Central de Saúde Pública (Lacen).,,,
219,qual e a definicao de caso notificado?,"Caso comunicado no sistema de monitoramento do Ministério da Saúde, abastecido diretamente pelas prefeituras. Pacientes com febre e pelo menos um sintoma respiratório, como tosse ou dificuldade para respirar.",,,
220,qual e a definicao de caso suspeito?,"Caso comunicado no sistema do Ministério da Saúde que se enquadra na definição estabelecida pela OMS. Lembrando: pacientes que apresentam sintomas respiratórios, como febre e tosse e viajaram para a China ou país com transmissão no território; pacientes que contataram alguém que viajou para este(s) destino (s) ou teve contato com um caso suspeito ou confirmado.",,,
221,"o que e o ""comunicante"" de um caso confirmado?","Comunicantes próximos são familiares, profissionais de saúde que tenham prestado atendimento desprotegidos e pessoas que possam ter tido contato próximo com o caso confirmado para COVID-19. Os comunicantes não são considerados casos suspeitos se não apresentarem febre associada a sintomas respiratórios como tosse, coriza ou dificuldade para respirar.",,,
222,qual e a definicao de caso provavel?,"Caso comunicado no sistema do Ministério da Saúde que se enquadra nas definições estabelecidas pela OMS, mas apresentou resultados não conclusivos para os exames realizados. Nesse caso, os laboratórios de referência farão reanálise.",,,
223,qual e a definicao de caso confirmado?,"Caso comunicado no sistema do Ministério da Saúde que se enquadra nas definições estabelecida pela OMS, e apresentou resultados conclusivos para os exames realizados, com positividade para o novo coronavírus.",,,
224,qual e a definicao de caso descartado?,"Caso comunicado no sistema do Ministério da Saúde que se enquadra nas definições estabelecidas pela OMS, mas deu negativo para o novo coronavírus.",,,
225,qual e a definicao de caso excluido?,Caso comunicado no sistema do Ministério da Saúde que se não se enquadrou nas definições estabelecidas pela OMS.,,,
226,por que e importante o municipio fazer a notificacao dentro de 24 horas? quais providencias o profissional deve adotar?,"A notificação é importante para que os gestores de saúde realizem o monitoramento e as ações recomendadas, como coleta adequada de amostras para diagnóstico. A Covid-19 é de notificação compulsória imediata, ou seja, qualquer caso suspeito e/ou confirmado precisa ser registrado no sistema oficial do Ministério da Saúde.",,,
