pergunta_um,pergunta_dois
"Ambos os braços anestesiados, sem dor no peito, apenas um pouco tonta. E um pouco de azia, tenho gastrite e artrite nas costas.",Quais são os sintomas da espondilose cervical?
"Epidermóide cerebral, é o mesmo que um tumor meningioma a diferença entre os dois tronco encefálico de 3 cm / lobo frontal de 8 cm?",Um cérebro epidermóide e um meningioma são a mesma coisa?
"Epidermóide cerebral, é o mesmo que um tumor meningioma a diferença entre os dois tronco encefálico de 3 cm / lobo frontal de 8 cm?",A cirurgia é a única opção de tratamento para epidermóide cerebral ou meningioma?
Sangue vermelho vivo no TP após a primeira limpeza após BM; então outro não limpa mais sangue. Eu bebo muito pop e muito pouca água ... se isso importa. ?,Eu tinha um tecido de cor vermelha como algo em minhas fezes. O que poderia ser?
Sangue vermelho vivo no TP após a primeira limpeza após BM; então outro não limpa mais sangue. Eu bebo muito pop e muito pouca água ... se isso importa. ?,O que significa sangue nas fezes?
C4-5 osteófito descoberto direito / complexo protuberância de disco protuberância de disco largo estenose foraminal neural direita e abutment da medula cervical ventral. Significado?,"Um simples ferimento no pescoço, que esbarrei em alguém outro dia, pode levar a mudanças visíveis em uma ressonância magnética?"
C4-5 osteófito descoberto direito / complexo protuberância de disco protuberância de disco largo estenose foraminal neural direita e abutment da medula cervical ventral. Significado?,Minha ressonância magnética mostra C4-5 osteófito descoberto direito / complexo protuberância do disco protuberância do disco largo estenose foraminal neural direita e abutment da medula cervical ventral. O que isto significa?
Um coágulo de sangue menstrual pode viajar para seu coração ou pulmões como outros coágulos de sangue podem?,Estou realmente com medo de coágulos sanguíneos. Um coágulo do meu período pode causar um derrame ou uma embolia?
Um coágulo de sangue menstrual pode viajar para seu coração ou pulmões como outros coágulos de sangue podem?,Tenho tido muitos coágulos no meu período. O que isso significa?
A doença celíaca pode imitar a esclerose múltipla mesmo depois de ser tratada com uma dieta estritamente livre de glúten? O meu celíaco não tratado pode ter causado as minhas lesões cerebrais?,Uma dieta estrita sem glúten ajuda no controle completo da doença celíaca?
A doença celíaca pode imitar a esclerose múltipla mesmo depois de ser tratada com uma dieta estritamente livre de glúten? O meu celíaco não tratado pode ter causado as minhas lesões cerebrais?,A EM e a doença celíaca apresentam lesões neurológicas de apresentação semelhantes?
Os fibroadenomas podem se transformar em câncer de mama?,Os fibroadenomas são malignos?
Os fibroadenomas podem se transformar em câncer de mama?,Quais são as modalidades de tratamento disponíveis para um fibroadenoma?
O polissístico renal pode ser curado?,A doença do ovário policístico pode ser curada?
O polissístico renal pode ser curado?,"Existe alguma cura para o rim policístico, de fato é necessário algum tratamento?"
É possível se livrar do diabetes tipo 2 com exercícios e uma boa dieta?,É imperativo tomar medicamentos para o controle do diabetes tipo 2 ou a modificação da dieta e dos exercícios é suficiente?
É possível se livrar do diabetes tipo 2 com exercícios e uma boa dieta?,É possível curar completamente o diabetes tipo 2?
Você pode me dizer por que é importante promover uma alimentação saudável para crianças e jovens?,"A alimentação saudável não pode ser incutida mais tarde, digamos na idade adulta, ou deve ser iniciada em uma idade jovem?"
Você pode me dizer por que é importante promover uma alimentação saudável para crianças e jovens?,Qual é a ingestão média de calorias por um jovem adolescente?
Você pode me dizer como é feita uma ecocardiografia?,"Tenho uma ecocardiografia marcada para amanhã, estou um pouco preocupado. Você poderia me explicar o processo para ter um pouco de paz de espírito?"
Você pode me dizer como é feita uma ecocardiografia?,"Tenho uma ecocardiografia marcada para amanhã, por que meu médico teria marcado uma?"
Você pode me dizer os nomes das instituições de saúde ou farmácias conhecidas por fabricar solução de colírio de voriconazol a 1%?,Como posso encontrar boas instituições de saúde ou farmácias conhecidas por prepararem solução de colírio de voriconazol a 1%?
Você pode me dizer os nomes das instituições de saúde ou farmácias conhecidas por fabricar solução de colírio de voriconazol a 1%?,Para que é normalmente usado o colírio de Voriconazol a 1%?
As minhas alergias nos seios da face podem dificultar a respiração?,As alergias simples também estão associadas a problemas respiratórios?
As minhas alergias nos seios da face podem dificultar a respiração?,Todos os problemas respiratórios em adolescentes significam asma?
"Será que os sintomas de overdose de cafeína permanecerão por mais de 2 meses, mesmo se já interrompermos a ingestão de cafeína?",Por quanto tempo os sintomas de overdose de cafeína permanecem?
"Será que os sintomas de overdose de cafeína permanecerão por mais de 2 meses, mesmo se já interrompermos a ingestão de cafeína?",Quais são os sintomas da overdose de cafeína? Eu preciso ver um médico para eles?
Será que andar em um colchão macio pode contribuir para as pernas arqueadas?,"Acho que meu filho pode estar desenvolvendo algumas pernas arqueadas, será que andar em colchões macios tem algo a ver com isso?"
Será que andar em um colchão macio pode contribuir para as pernas arqueadas?,"O que é perna arqueada, como é diagnosticada?"
"Caro Dr., sentindo em meus olhos que as luzes estão muito brilhantes, sinto tontura com os lados do pescoço muito doloridos e o maxilar tenso atrás do pescoço Apnéia do sono 6 semanas?","Tem tido dor de cabeça, tontura e um pouco de fotofobia recentemente, o que pode ser?"
"Caro Dr., sentindo em meus olhos que as luzes estão muito brilhantes, sinto tontura com os lados do pescoço muito doloridos e o maxilar tenso atrás do pescoço Apnéia do sono 6 semanas?","Eu tenho tido muitos symotoms não relacionados há alguns meses. Você pode ajudar? Tenho apnéia do sono, dor no pescoço e na mandíbula, tontura ocasional e fotofobia também"
Alguém sabe o que fazer com uma criança de 13 anos de idade que sofre de ansiedade grave?,A ansiedade se apresenta de maneira diferente em adolescentes e adultos?
Alguém sabe o que fazer com uma criança de 13 anos de idade que sofre de ansiedade grave?,Quais opções de tratamento estão disponíveis para um jovem adolescente que sofre de ansiedade severa?
Alguma coisa durante a gravidez causa atresia esofágica?,A ingestão de algum alimento específico durante a gravidez pode causar atresia esofágica no feto?
Alguma coisa durante a gravidez causa atresia esofágica?,Quando a atresia esofágica pode ser diagnosticada em um feto?
"Amamentar apenas de um lado altera o risco de câncer de mama na mama não amamentada? Meu filho tinha uma preferência, então eu amamentei do lado esquerdo.",A amamentação realmente reduz a incidência de câncer de mama ou é apenas um mito?
"Amamentar apenas de um lado altera o risco de câncer de mama na mama não amamentada? Meu filho tinha uma preferência, então eu amamentei do lado esquerdo.","Eu notei um caroço no meu seio direito por algumas semanas agora, meu filho só chupa o esquerdo, isso poderia significar que eu tenho uma infecção de câncer no direito?"
O corte no lábio se transforma em protuberância branca?,"Pode um corte no lábio ficar branco depois de alguns dias, não dói mais, só tá aí"
O corte no lábio se transforma em protuberância branca?,"Tenho uma protuberância branca no lábio, pode ser Herpes?"
"O óleo de linhaça, cerca de 3 gramas por dia, conforme prescrito pelo meu oftalmologista, interage com o orto trip cyclen ou outras pílulas anticoncepcionais?",As pílulas de BC têm alguma interação com o óleo de linhaça?
"O óleo de linhaça, cerca de 3 gramas por dia, conforme prescrito pelo meu oftalmologista, interage com o orto trip cyclen ou outras pílulas anticoncepcionais?",Quais antibióticos interagem com os comprimidos de BC e reduzem sua eficácia?
A redução 'aberta' com haste intramedular de fratura da diáfise da tíbia causa fraqueza muscular e cura óssea lenta devido a danos nos tecidos moles?,O dano ao tecido mole na redução 'aberta' com haste intramedular de fratura da diáfise da tíbia é grave o suficiente para causar fraqueza muscular e cura óssea lenta.
A redução 'aberta' com haste intramedular de fratura da diáfise da tíbia causa fraqueza muscular e cura óssea lenta devido a danos nos tecidos moles?,O que é melhor para uma fratura da diáfise da tíbia? Uma redução aberta ou fechada?
O estresse causa hematospermia?,A hematospermia pode causar infertilidade?
O estresse causa hematospermia?,O estresse é um importante fator causador de hematospermia?
A erva kalawalla (polypodium leucotamos) realmente funciona para doenças auto-imunes?,As doenças autoimunes são completamente curáveis?
A erva kalawalla (polypodium leucotamos) realmente funciona para doenças auto-imunes?,Houve alguma pesquisa que comprove a utilidade da erva kalawalla (polypodium leucotomos) em doenças autoimunes?
A vitamina D vem em forma de injeção?,"Posso tomar injeções de vitamina D em vez de comprimidos? Ele vem na forma injetável, certo?"
A vitamina D vem em forma de injeção?,"Tenho sentido dores nas costas recentemente, preciso iniciar a suplementação de vitamina D?"
"Fração de ejeção de gb muito baixa. Dieta reduzida a carnes magras, frutas, vegetais. Refluxo constante na garganta, mas com intensidade variável. Relacionado?","Uma baixa fração de ejeção, refluxo gástrico e uma dieta de carnes magras, frutas e vegetais estão relacionados de alguma forma?"
"Fração de ejeção de gb muito baixa. Dieta reduzida a carnes magras, frutas, vegetais. Refluxo constante na garganta, mas com intensidade variável. Relacionado?",Como posso superar o refluxo gástrico e uma baixa fração de ejeção de GB? Eu preciso ver um médico?
Fêmea. A mãe tem 150 cm e o pai tem 156 cm. Eu queria saber se posso ter pelo menos 160-165 cm de altura?,Posso tomar algum medicamento para aumentar minha altura?
Fêmea. A mãe tem 150 cm e o pai tem 156 cm. Eu queria saber se posso ter pelo menos 160-165 cm de altura?,Posso ser mais alto que meus pais?
"Tenho alto nível de Hb e o médico me aconselhou a repetir o teste FBC em abril de 2014.Agora eu tenho 17,6% de nível de hemoglobina que comida você recomenda, nomes plz?","Recentemente fiz o teste e descobri que tenho um HB de 17,6%, quais alimentos você recomendaria para mim?"
"Tenho alto nível de Hb e o médico me aconselhou a repetir o teste FBC em abril de 2014.Agora eu tenho 17,6% de nível de hemoglobina que comida você recomenda, nomes plz?","A Hb de 17,6% é muito alta? Devo consultar um médico?"
"A menstruação passou dos 4 meses e durou 11 dias, o que nunca acontece. Tenho sentido uma dor incômoda e incômoda do útero. O que poderia ser?","Eu perdi minha menstruação por 4 meses e agora estou com um sangramento muito forte, isso é normal?"
"A menstruação passou dos 4 meses e durou 11 dias, o que nunca acontece. Tenho sentido uma dor incômoda e incômoda do útero. O que poderia ser?","Já perdi a menstruação há 4 meses e tenho algumas dores surdas na região abdominal inferior, alguma ideia do que está acontecendo?"
Têm erupção na pele com comichão após 4 dias de biaxina (claritromicina). Já tomei isso antes e estava bem. Devo continuar?,"Acho que posso ter desenvolvido uma reação alérgica à biaxina (claritromicina), devo parar de tomá-la?"
Têm erupção na pele com comichão após 4 dias de biaxina (claritromicina). Já tomei isso antes e estava bem. Devo continuar?,Quais são os usos da claritromicina?
"Já faz muito tempo que tenho cistos duros no couro cabeludo. Eles cresceram de 1 para cerca de 8 para 9 agora. Dos quais 3 cresceram um pouco grandes. Eles são indolores, mas são desconfortáveis ​​ao escovar meu cabelo. Embora essa não seja minha principal preocupação. Foram tratados",Sinto como se tivesse um cisto na cabeça. Pode ser câncer?
"Já faz muito tempo que tenho cistos duros no couro cabeludo. Eles cresceram de 1 para cerca de 8 para 9 agora. Dos quais 3 cresceram um pouco grandes. Eles são indolores, mas são desconfortáveis ​​ao escovar meu cabelo. Embora essa não seja minha principal preocupação. Foram tratados","Há um ano que tenho alguns cistos duros, pequenos a grandes, no couro cabeludo. Eles não causam dor, mas são um pouco desconfortáveis. Preciso removê-los?"
"Há um ano que não menstruo, uso heroína e agora tenho conseguido ajuda. Estou me perguntando quando começarei a menstruação?","Não menstruo há um ano, o que está acontecendo? Eu sei com certeza, não estou grávida."
"Há um ano que não menstruo, uso heroína e agora tenho conseguido ajuda. Estou me perguntando quando começarei a menstruação?","Eu era viciado em drogas, mas agora estou em tratamento. Meu problema é que não tenho menstruação há quase um ano. Será por causa das drogas?"
Sinto dor para cima e para baixo na perna esquerda e no pé esquerdo. Tenho mantido elevado o dia todo. Espero que não seja um coágulo de sangue. Eu também tomei três aspirinas Bayer.?,Recentemente fui diagnosticado com um coágulo sanguíneo na perna ... Que precauções devo tomar para o mesmo? E como posso evitar isso no futuro?
Sinto dor para cima e para baixo na perna esquerda e no pé esquerdo. Tenho mantido elevado o dia todo. Espero que não seja um coágulo de sangue. Eu também tomei três aspirinas Bayer.?,O que significa um coágulo de sangue na perna. Devo estar tomando aspirina se tiver dor nas pernas?
Fazer um exame de sangue por motivos neurológicos pode detectar a gravidez?,A gravidez pode ser detectada por um exame de sangue de rotina ou existe um exame de sangue mais específico para isso?
Fazer um exame de sangue por motivos neurológicos pode detectar a gravidez?,Como posso verificar em casa se estou grávida ou não?
Olá estou usando neutrogena a partir de 15 dias .. Acne não está saindo o que devo fazer?,O Aloe vera é benéfico para a acne?
Olá estou usando neutrogena a partir de 15 dias .. Acne não está saindo o que devo fazer?,Neutrogena é realmente útil para acne?
"Olá, tenho espasmos nas costas que surgem de vez em quando. Eu fiz o calor e o gelo girarem. Naproxeno tentou olhar minha dieta e tomar vitaminas?",Tenho tido espasmos nas costas intensos e nenhuma das medidas básicas está ajudando. O que devo fazer?
"Olá, tenho espasmos nas costas que surgem de vez em quando. Eu fiz o calor e o gelo girarem. Naproxeno tentou olhar minha dieta e tomar vitaminas?",Tenho tido espasmos nas costas intensos. Pode ser uma hérnia de disco?
"Ei, então eu acabei de ter infecções de garganta e devo lavar todos os meus lençóis como se eles fossem contagiosos para minha família se usassem o mesmo cobertor que usei quando estava doente.","Uma bactéria estreptocócica na garganta permanece em suas toalhas, roupas de cama, etc. e pode infectar outras pessoas ao seu redor?"
"Ei, então eu acabei de ter infecções de garganta e devo lavar todos os meus lençóis como se eles fossem contagiosos para minha família se usassem o mesmo cobertor que usei quando estava doente.",Como a garganta estreptocócica é diagnosticada? Eu preciso ver um médico para isso?
"Olá, dr. Tenho 33 anos de idade, sou casado e tenho 3 filhos, minha altura é de 173 cm e meu peso é de 100 libras. Meu peso normal de acordo com a idade deve ser de 75 anos.",Como perder peso rapidamente após o parto?
"Olá, dr. Tenho 33 anos de idade, sou casado e tenho 3 filhos, minha altura é de 173 cm e meu peso é de 100 libras. Meu peso normal de acordo com a idade deve ser de 75 anos.",Qual é o peso ideal para uma mulher de 33 anos?
Quão precisos são os exames de sangue para diabéticos que testam o açúcar no sangue de 3 meses?,O HBA1c é um teste muito preciso?
Quão precisos são os exames de sangue para diabéticos que testam o açúcar no sangue de 3 meses?,De quais exames você precisa se suspeitar que tem diabetes?
Como uma pessoa pode saber se tem a síndrome da fadiga crônica?,Quais são os sintomas da síndrome da fadiga crônica?
Como uma pessoa pode saber se tem a síndrome da fadiga crônica?,Qual é o tratamento da síndrome da fadiga crônica?
Como uma mulher grávida em repouso pode evitar atrofia e coágulos sanguíneos?,"Fui aconselhado repouso absoluto pela minha obstetra, estou grávida de 23 semanas. Como posso prevenir atrofia e coágulos sanguíneos?"
Como uma mulher grávida em repouso pode evitar atrofia e coágulos sanguíneos?,"É comum que uma mulher grávida em repouso na cama tenha atrofia e coágulos sanguíneos, todo mundo tem?"
Como posso ter evacuações diárias normais quando estou constipado e não tenho uma bexiga normal há quase um mês?,"A constipação é ruim? Quer dizer, pode danificar outras partes do corpo ou causar qualquer dano a longo prazo para mim?"
Como posso ter evacuações diárias normais quando estou constipado e não tenho uma bexiga normal há quase um mês?,"Estou lutando contra a constipação há quase um mês, você pode me ajudar com um plano de tratamento para o mesmo? É bastante incômodo, honestamente; ("
Como posso me livrar dessa dor na minha perna?,Dor na perna é sinal de coágulo sanguíneo?
Como posso me livrar dessa dor na minha perna?,"Comecei a sentir uma dor aleatória na perna, o que devo fazer?"
Como você pode curar a bursite crônica do joelho?,Como é diagnosticada a bursite crônica do joelho? A ressonância magnética é sempre necessária?
Como você pode curar a bursite crônica do joelho?,Quais são as opções de tratamento disponíveis para a bursite crônica do joelho?
Quão comum é alguém pegar a síndrome do túnel cubital?,Como você pode tratar uma síndrome do túnel cubital?
Quão comum é alguém pegar a síndrome do túnel cubital?,A síndrome do túnel cubital é muito comum em mulheres jovens?
Como um donut é decomposto no sistema digestivo se essencialmente não contém nutrientes?,Você pode me orientar no processo de digestão de uma rosquinha no corpo humano?
Como um donut é decomposto no sistema digestivo se essencialmente não contém nutrientes?,Os donuts têm algum valor nutritivo ou são lixo puro?
Como você sabe os dias em que ovula se sua menstruação muda a cada mês e como faço para aumentar minhas chances de engravidar?,Como monitorar a ovulação de uma pessoa com períodos irregulares?
Como você sabe os dias em que ovula se sua menstruação muda a cada mês e como faço para aumentar minhas chances de engravidar?,Como posso aumentar minhas chances de engravidar?
Quão eficazes são os plugues punctal para o tratamento de olhos secos após o lasik? Estou com quase 1 ano de pós-operatório e as lágrimas artificiais não estão ajudando.,Os plugues punctal têm um benefício maior sobre as lágrimas artificiais para o tratamento de olhos secos após Lasik?
Quão eficazes são os plugues punctal para o tratamento de olhos secos após o lasik? Estou com quase 1 ano de pós-operatório e as lágrimas artificiais não estão ajudando.,Quais são as complicações do procedimento Lasik?
Quanto tempo viveria uma pessoa com câncer?,O câncer é curável?
Quanto tempo viveria uma pessoa com câncer?,Qual é a expectativa de vida média de uma pessoa após o diagnóstico de câncer?
Quantos moldes de meus dentes o ortodontista receberia antes de eu receber o aparelho?,Como decidir se precisa de aparelho ortodôntico ou não? Todos deveriam pegá-los?
Quantos moldes de meus dentes o ortodontista receberia antes de eu receber o aparelho?,O dentista tirará muitos moldes dos dentes antes de eu realmente conseguir o aparelho? Eu odeio fazer moldes ...
"Resultado do teste de soro para HSV 1 + 2 - 1,77 e resultado de PCR para HSV Tipo 1 + 2 DNA Negativo. Não consigo entender a diferença entre dois resultados.","Como o HSV é testado, se houver suspeita de infecção?"
"Resultado do teste de soro para HSV 1 + 2 - 1,77 e resultado de PCR para HSV Tipo 1 + 2 DNA Negativo. Não consigo entender a diferença entre dois resultados.",Resultado do teste de soro para HSV 1 + 2 - resultado de 1.77 e resultado de PCR para HSV tipo 1 + 2 negativo. Esses dois valores significam a mesma coisa?
Remanescente do anel do hímen ... o que é e como você pode consertar?,Um hímen pode ser reparado depois de rompido para dar a impressão de que ainda é virgem?
Remanescente do anel do hímen ... o que é e como você pode consertar?,Existe uma maneira de consertar um remanescente do anel do hímen?
"Histerossalpingografia, você pode me falar sobre isso?",Tenho um procedimento programado para verificar meus tubos. HSG alguma coisa ... Histerossalpingografia talvez. Você pode me falar mais sobre o procedimento?
"Histerossalpingografia, você pode me falar sobre isso?","Estou tentando ter filhos há 1 ano, mas nada está acontecendo. Devo fazer alguns testes? Já ouvi falar do HSG, é bom?"
Tenho 24 anos e estou amamentando minha filha de 9 meses. Posso fazer mamogramas porque o último resultado há 2 anos foi fibrocisto na mama esquerda Devo me preocupar?,A amamentação pode piorar as alterações fibrocísticas da mama?
Tenho 24 anos e estou amamentando minha filha de 9 meses. Posso fazer mamogramas porque o último resultado há 2 anos foi fibrocisto na mama esquerda Devo me preocupar?,Estou amamentando minha filha. É seguro fazer uma mamografia para F / u em alterações fibrocísticas em minha mama esquerda?
Estou grávida de 35 semanas e 6 dias e tenho perdido muito líquido claro do meu peito e também tenho fortes dores de aperto na barriga?,Estou com quase 36 semanas de gravidez e notei muito líquido claro saindo do meu peito e dores no baixo-ventre. Estou entrando em trabalho de parto?
Estou grávida de 35 semanas e 6 dias e tenho perdido muito líquido claro do meu peito e também tenho fortes dores de aperto na barriga?,Estou com quase 36 semanas de gravidez. Preciso de outro ultrassom?
"Eu tenho 44 anos e meus seios e mamilos estão sensíveis, o que poderia ser?",Pode-se esperar a menopausa aos 44 anos?
"Eu tenho 44 anos e meus seios e mamilos estão sensíveis, o que poderia ser?","Tenho 44 anos, sinto dor nos seios e nos mamilos há uma semana, não menstruo há algum tempo. Posso estar grávida?"
Estou notando pequenas saliências vermelhas na pele perto dos meus lábios?,"A pele perto dos lábios parece um pouco inchada, isso significa que tenho uma DST?"
Estou notando pequenas saliências vermelhas na pele perto dos meus lábios?,O que pode causar pequenas saliências vermelhas perto dos lábios vaginais?
"Estou tomando penicilina há cerca de um mês, há uma semana comecei a menstruar, mas à tarde parou. A penicilina pode atrasar os períodos?",A penicilina pode interferir na minha pílula anticoncepcional?
"Estou tomando penicilina há cerca de um mês, há uma semana comecei a menstruar, mas à tarde parou. A penicilina pode atrasar os períodos?",A penicilina pode interferir na minha menstruação e causar uma quase inexistente?
"Jejuo 16 horas como 8. Mas, por 8 horas, como três refeições. Portanto, devo manter minhas refeições juntas para não começar a jejuar ou elas podem ser distribuídas?","É ruim se um diabético tem um horário de alimentação errático, jejum diário de 16 horas e depois come de tudo nas demais 8 horas?"
"Jejuo 16 horas como 8. Mas, por 8 horas, como três refeições. Portanto, devo manter minhas refeições juntas para não começar a jejuar ou elas podem ser distribuídas?",É ruim jejuar por 16 horas e depois comer três refeições em 8 horas?
"Se as temperaturas globais aumentarem, a malária se espalhará para outras áreas?",Estou viajando para a Ásia. Eu preciso fazer profilaxia contra malária?
"Se as temperaturas globais aumentarem, a malária se espalhará para outras áreas?",A malária é mais comum em áreas mais quentes?
"Se eu não tiver o muco cervical da clara do ovo, ainda estarei ovulando?",É imperativo que a pessoa tenha muco cervical de clara de ovo durante a ovulação?
"Se eu não tiver o muco cervical da clara do ovo, ainda estarei ovulando?",Quais são os sinais de ovulação?
"Se eu usar 4 tylenol (paracetamol) 3 e 0,50 mg de Xanax, seria tão perigoso usar lsd e mdma algumas horas depois, pois seria apenas misturar lsd e mdma? Ty","É possível tomar Tylenol, Xanax, LSD e MDMA em um intervalo de algumas horas?"
"Se eu usar 4 tylenol (paracetamol) 3 e 0,50 mg de Xanax, seria tão perigoso usar lsd e mdma algumas horas depois, pois seria apenas misturar lsd e mdma? Ty",É perigoso misturar vários tipos de drogas e álcoois?
"Se a massa que tenho entre minhas costelas for cancerosa, isso tornaria algo anormal em um hemograma e em que estágio?","Tenho uma massa entre as costelas, estou preocupada que possa ser câncer. Se for, aparecerá no CBC?"
"Se a massa que tenho entre minhas costelas for cancerosa, isso tornaria algo anormal em um hemograma e em que estágio?",É possível desenvolver câncer entre as costelas?
"Se você sentiu uma massa na mama por mais de 4 anos, devo me preocupar?",Todas as massas mamárias são cancerosas?
"Se você sentiu uma massa na mama por mais de 4 anos, devo me preocupar?",Tenho 40 anos e já estou com um caroço no seio direito há cerca de 4 anos. Pode ser câncer?
"Se o seu bebê já caiu, isso significa automaticamente que você está perto de ter o bebê?",O trabalho de parto termina quando o bebê cai?
"Se o seu bebê já caiu, isso significa automaticamente que você está perto de ter o bebê?",Quais são os sinais usuais de trabalho de parto?
"Fui eletrocutado quando estava trocando um fio do meu carro e acidentalmente toquei nele com uma chave de fenda e fiquei chocado, senti que ele subia pelos meus braços, está bem?",Acabei de receber um pequeno choque elétrico no braço! Estou surtando um pouco. Devo consultar um médico?
"Fui eletrocutado quando estava trocando um fio do meu carro e acidentalmente toquei nele com uma chave de fenda e fiquei chocado, senti que ele subia pelos meus braços, está bem?",Que nível de choque elétrico pode ser fatal para o corpo humano?
"Fiz 2 radiografias de tórax 2 vezes diferentes com mecine portátil. Vi a imagem, mas não vi as costelas, só os pulmões é possível.",Uma fratura de costela pode ser diagnosticada em uma radiografia de tórax?
"Fiz 2 radiografias de tórax 2 vezes diferentes com mecine portátil. Vi a imagem, mas não vi as costelas, só os pulmões é possível.","As radiografias de meu tórax continuam mostrando apenas meus pulmões, mas não minhas costelas! Como isso é possível?"
"Tive o implante removido e agora tenho Evelyn para a pílula combinada. Teve alguns meses normais, mas agora sangra quando é limpo e não deveria estar. Por quê? Veja um doc?",Os anticoncepcionais hormonais podem causar sangramento irregular? E manchas?
"Tive o implante removido e agora tenho Evelyn para a pílula combinada. Teve alguns meses normais, mas agora sangra quando é limpo e não deveria estar. Por quê? Veja um doc?","Parei de tomar meu controle de natalidade há 6 meses, mas ainda assim meu período é irregular e manchas continuam acontecendo. O que você acha que pode ser o problema aqui?"
"Tive liberação epicondilar medial / descompressão do nervo ulnar 09/05/14. Quando eu acordei, eu estava com dor de garganta, ainda tenho dor de garganta? Estou preocupado?",Quanto tempo é o período de recuperação para a cirurgia de liberação do epicondilar medial / descompressão do nervo ulnar?
"Tive liberação epicondilar medial / descompressão do nervo ulnar 09/05/14. Quando eu acordei, eu estava com dor de garganta, ainda tenho dor de garganta? Estou preocupado?","Tenho tido esta dor de garganta constante desde a minha cirurgia há alguns anos, qual poderia ser a causa?"
"Eu tive meu menisco reparado na semana passada, eu não deveria suportar peso nesta perna. Perdi o equilíbrio e me peguei usando essa perna brevemente, estou bem?",Por quanto tempo após a cirurgia meniscal você deve evitar colocar peso na perna lesada?
"Eu tive meu menisco reparado na semana passada, eu não deveria suportar peso nesta perna. Perdi o equilíbrio e me peguei usando essa perna brevemente, estou bem?","Que opções de tratamento eu tenho, se descobri recentemente que tive uma ruptura meniscal?"
"Eu fiz sexo desprotegido 2 semanas atrás, comecei a ter uma secreção marrom, mas ainda não comecei. O que isso significa? Eu tenho períodos irregulares btw.",Um corrimento vaginal marrom significa que estou grávida?
"Eu fiz sexo desprotegido 2 semanas atrás, comecei a ter uma secreção marrom, mas ainda não comecei. O que isso significa? Eu tenho períodos irregulares btw.","Quais são os sintomas de uma gravidez? Tenho períodos irregulares, como faço para monitorar minha ovulação?"
Eu tenho uma cicatriz preta no olho que posso ver quando olho para algo que é de uma cor clara. Está lá há 2 meses. Ele irá embora por conta própria?,Eu notei algumas cicatrizes pretas no meu olho? O que poderia ser? E irá embora por conta própria?
Eu tenho uma cicatriz preta no olho que posso ver quando olho para algo que é de uma cor clara. Está lá há 2 meses. Ele irá embora por conta própria?,"Percebi um pouco de vermelhidão no meu olho hoje, pode ser o início de um olho rosa?"
"Eu tenho um hematoma circulando uma picada de inseto, isso é comum?",Como diferenciar uma picada de inseto simples de uma picada de aranha?
"Eu tenho um hematoma circulando uma picada de inseto, isso é comum?","Tive uma picada de inseto, agora percebo um hematoma ao redor, isso é normal?"
Tenho uma picada de inseto e está piorando. O que você recomenda?,Como posso saber se é uma simples picada de inseto ou uma picada de aranha?
Tenho uma picada de inseto e está piorando. O que você recomenda?,O que pode ajudar com uma picada de inseto?
"Eu tenho uma sensação de queimação na parte superior da minha mama após 2 dias de aumento de mama, isso é normal?",Quais são os efeitos colaterais de longo prazo do aumento do peito
"Eu tenho uma sensação de queimação na parte superior da minha mama após 2 dias de aumento de mama, isso é normal?",Quais são os sintomas que se podem esperar na fase de recuperação após um aumento de mama?
"Tenho uma ruptura / laceração de espessura total do tendão flexor do hálux após uma cirurgia de joanete, há 3 meses. Ele está retraído 2,5 cm. e não consigo dobrar o dedão do pé para baixo. Quais são os possíveis problemas de longo prazo sem a capacidade do dedão do pé para empurrar para baixo, para fornecer",Quais são as complicações de uma cirurgia de joanete?
"Tenho uma ruptura / laceração de espessura total do tendão flexor do hálux após uma cirurgia de joanete, há 3 meses. Ele está retraído 2,5 cm. e não consigo dobrar o dedão do pé para baixo. Quais são os possíveis problemas de longo prazo sem a capacidade do dedão do pé para empurrar para baixo, para fornecer",Quais são as complicações a longo prazo de uma ruptura / ruptura de espessura total do tendão flexor do hálux?
Eu tenho um caroço na parte de trás da minha cabeça. Está acima da linha do cabelo no meio. É duro e inabalável. Não dói. Devo me preocupar?,Eu tenho um caroço na minha cabeça. Pode ser câncer?
Eu tenho um caroço na parte de trás da minha cabeça. Está acima da linha do cabelo no meio. É duro e inabalável. Não dói. Devo me preocupar?,O que significaria uma protuberância na linha média fixa e dura na cabeça que está lá há algumas semanas?
"Tenho uma ferida dolorosa dentro do nariz, é vermelha e áspera. Meu nariz também está muito seco. O que é e como o trato? Não vai embora e dói.","Estou com uma ferida vermelha e áspera dentro do nariz há 3 dias, e meu nariz também está bastante seco! O que poderia ser isso? É muito doloroso na verdade, então qualquer ajuda será apreciada"
"Tenho uma ferida dolorosa dentro do nariz, é vermelha e áspera. Meu nariz também está muito seco. O que é e como o trato? Não vai embora e dói.",Meu nariz está excepcionalmente seco. Isso poderia estar causando sangramento no nariz?
Tenho uma possível fratura do punho do escafoide. Como posso saber sem ir ao hospital?,A fratura do punho do escafoide sempre precisa de cirurgia?
Tenho uma possível fratura do punho do escafoide. Como posso saber sem ir ao hospital?,Quais são os sintomas de uma fratura do punho do escafoide?
"Tenho artrite nos joelhos e na parte inferior das costas. Normalmente, quando saio da cama, eles estão rígidos. Meus quadris doem e ficam rígidos se eu deitar de costas à noite?","Como posso controlar a rigidez dos joelhos, parte inferior das costas, etc. Tenho artrite"
